pos,n_types,n_tokens,type_coverage,token_coverage
NOUN,18352,1980752,0.3177,0.7822
VERB,9476,1141523,0.2442,0.7325
DET,41,1136231,0.4634,0.9999
ADP,97,1105908,0.7113,0.9994
PRON,78,819741,0.6026,0.9972
AUX,33,703875,0.8788,0.9981
ADJ,5731,698828,0.2568,0.8279
PROPN,14550,506783,0.1165,0.5768
ADV,1603,383123,0.1703,0.8524
CCONJ,12,323200,0.75,0.9999
PART,10,297651,0.4,0.9995
SCONJ,27,208497,0.6296,0.9828
NUM,2173,178881,0.1519,0.7472
INTJ,49,61205,0.5306,0.9867
X,62,2577,0.0645,0.4497
PUNCT,10,531,0.1,0.8983
SYM,1,1,0.0,0.0
