token_id,token_str,text_only_count,image_count
1,[CLS],658792,563118
2,[SEP],658792,563118
18,.,646172,52210
266,Ġthe,489979,76223
16,",",418270,8140
263,Ġa,256567,131806
293,Ġof,248059,55041
296,Ġand,244243,26022
289,Ġto,236026,17337
291,Ġin,187329,43431
307,Ġis,146579,10572
308,ĠThe,110424,19342
327,Ġwas,105673,355
331,Ġthat,102609,6145
306,ĠI,82542,133
338,Ġit,82451,6269
342,Ġfor,75332,828
322,Ġon,75091,28580
352,'s,74366,2831
353,Ġ=,74361,0
341,Ġyou,70397,1527
349,Ġare,70299,637
17,-,65385,7497
356,Ġwith,64656,40452
309,ĠA,63552,74785
372,"Ġ""",55706,403
366,Ġnot,52438,3039
362,Ġas,50495,367
367,Ġat,49779,6227
321,Ġhe,48954,288
312,Ġbe,48424,367
392,Ġhave,47309,163
387,Ġhis,45812,10067
402,'t,43773,383
414,Ġthey,39658,65
413,Ġby,39464,4305
416,Ġhad,38967,65
419,Ġfrom,38478,2564
379,Ġi,33723,170
351,Ġan,31960,7022
458,Ġwere,31912,24
452,Ġher,30593,5723
464,Ġbut,30026,472
399,Ġman,29521,37554
465,ĠIt,27992,121
490,Ġone,27108,6793
468,Ġall,26438,2428
477,ĠHe,26234,39
438,Ġor,25884,856
497,Ġhas,25622,1398
30,:,25490,732
496,Ġ(,24234,117
507,Ġpeople,24014,24474
345,Ġwe,23609,288
511,Ġthis,23500,446
487,Ġcan,23392,1314
513,Ġtheir,23279,5658
502,Ġshe,23069,204
474,Ġknow,22670,13
449,Ġso,22438,91
517,Ġabout,22387,497
499,Ġno,22135,1927
381,Ġdo,21882,76
523,ĠThere,21589,257
519,Ġthere,21433,165
514,Ġwould,21378,24
493,Ġup,20893,2632
31,;,20786,71
535,Ġsaid,20781,10
516,Ġthem,20475,145
508,Ġhim,20470,318
531,Ġwill,20340,25
467,Ġout,19909,1762
559,Ġbeen,18805,76
540,Ġlike,18651,433
202,ĉ,18000,0
573,Ġuh,17984,4
538,Ġmy,17714,88
35,?,17054,24
584,Ġmore,16829,514
577,Ġwhen,16773,10
589,Ġif,16622,48
596,Ġwhich,16385,923
595,Ġwhat,16231,129
541,Ġwho,16201,1205
469,Ġme,15835,99
597,Ġdon,15648,54
605,Ġtime,15633,74
601,".""",15540,5
637,ĠThey,14474,4
572,Ġsome,14330,3475
581,Ġother,14163,7811
225,Ġ,13978,1091
627,Ġjust,13935,405
647,Ġvery,13875,635
13,),13832,83
649,Ġinto,13696,428
652,Ġwoman,13408,20642
644,Ġthink,13235,55
520,Ġany,13211,109
659,Ġtwo,13207,8416
656,",""",13117,0
632,Ġcould,13083,11
552,ĠIn,12788,33
646,Ġthan,12781,227
556,Ġdid,12495,10
684,Ġlittle,12359,3112
688,Ġonly,12246,1097
599,Ġget,12094,75
609,Ġover,12061,1476
695,Ġwell,11789,123
696,Ġnever,11757,2
683,Ġdown,11714,2373
717,Ġits,11181,2437
699,ĠShe,11157,21
687,Ġyour,10913,62
704,Ġgood,10791,105
472,Ġgo,10729,101
11,',10458,244
703,Ġsee,10197,1348
740,Ġnow,9993,13
727,ĠYou,9977,13
751,Ġbecause,9945,18
755,Ġmade,9836,99
45,I,9751,274
355,ĠB,9736,209
763,Ġmuch,9581,67
761,Ġthen,9578,27
769,Ġfirst,9367,294
734,Ġafter,9206,96
732,Ġshould,9092,13
6,"""",9085,62
787,Ġalso,8962,82
707,ĠWe,8930,7
5,!,8898,114
539,--,8888,8
749,Ġway,8888,257
780,Ġmen,8876,9233
629,Ġwork,8816,286
800,ĠTwo,8716,11108
801,Ġhere,8606,56
728,Ġback,8599,5411
804,ĠThis,8597,398
809,'re,8569,10
744,Ġhow,8568,15
784,Ġwhere,8563,348
813,Ġwhile,8497,473
815,Ġmany,8395,1998
822,Ġgoing,8308,195
818,Ġmake,8271,35
789,Ġmost,8101,1102
836,Ġyeah,8096,4
797,Ġthrough,8029,202
838,Ġbefore,8005,75
790,Ġright,7921,6230
720,Ġboy,7816,7345
693,Ġtoo,7625,59
859,Ġyears,7563,12
857,Ġ',7471,1306
817,Ġyoung,7440,7835
861,"?""",7423,0
764,Ġold,7331,1294
848,Ġour,7268,96
876,'m,7228,18
878,Ġreally,7206,84
