word,text_only_count,image_count
known,4582,0
asked,4097,0
i've,3790,0
told,3630,0
federal,3430,0
knew,3107,0
days,2915,0
however,2888,0
often,2796,0
gave,2686,0
rule,2680,0
began,2667,0
uh-huh,2578,0
history,2492,0
started,2457,0
seemed,2387,0
mind,2290,0
percent,2066,0
usually,1988,0
voice,1957,0
jon,1942,0
miles,1913,0
february,1912,0
million,1873,0
capital,1865,0
become,1841,0
understand,1818,0
week,1804,0
costs,1796,0
although,1794,0
bomba,1790,0
agencies,1780,0
financial,1769,0
needed,1660,0
example,1658,0
sent,1640,0
lsc,1622,0
deal,1618,0
received,1606,0
saving,1599,0
provide,1594,0
bring,1559,0
analysis,1553,0
considered,1541,0
happened,1517,0
couldn't,1514,0
agency,1514,0
reason,1507,0
speak,1501,0
months,1500,0
tuppence,1496,0
bessie,1495,0
2020,1445,0
benefits,1425,0
you'll,1422,0
visit,1408,0
organizations,1393,0
april,1385,0
haven't,1369,0
september,1351,0
results,1343,0
value,1335,0
2021,1307,0
cried,1296,0
answered,1289,0
bart,1282,0
studies,1270,0
august,1255,0
lives,1248,0
required,1242,0
economic,1241,0
released,1240,0
career,1233,0
met,1232,0
standards,1231,0
we've,1224,0
returned,1221,0
effect,1207,0
december,1181,0
maggie,1161,0
sense,1156,0
ca'daan,1145,0
replied,1134,0
continued,1131,0
expected,1110,0
provided,1105,0
income,1101,0
indeed,1095,0
published,1090,0
suppose,1088,0
issue,1087,0
education,1083,0
planning,1076,0
review,1064,0
month,1058,0
resources,1058,0
proposed,1056,0
2018,1045,0
requirements,1042,0
necessary,1037,0
appeared,1033,0
spend,1031,0
experience,1030,0
edna,1026,0
term,1018,0
happen,1016,0
evidence,1013,0
suddenly,1004,0
impact,1002,0
comments,981,0
finally,980,0
industry,970,0
knowledge,963,0
commission,961,0
2019,957,0
remained,951,0
definitely,940,0
account,939,0
commune,921,0
economy,919,0
send,917,0
lawyers,909,0
adrin,896,0
1999,893,0
events,892,0
province,892,0
caused,891,0
weeks,888,0
success,884,0
despite,883,0
trust,882,0
ought,882,0
poirot,881,0
2022,879,0
grew,872,0
reporting,867,0
generally,863,0
you've,860,0
fear,859,0
municipality,858,0
ended,857,0
afternoon,856,0
julius,848,0
efforts,848,0
reported,845,0
florence,843,0
believed,843,0
effective,842,0
thus,841,0
footnote,834,0
bought,833,0
rates,832,0
talked,832,0
decision,830,0
difference,826,0
taxes,826,0
2001,824,0
established,820,0
funding,813,0
supposed,811,0
exclaimed,810,0
investment,810,0
funds,809,0
increased,807,0
doubt,801,0
consider,795,0
schools,783,0
1996,781,0
therefore,778,0
census,778,0
terms,774,0
goals,773,0
average,758,0
audit,752,0
stayed,751,0
produced,750,0
absolutely,749,0
species,744,0
successful,742,0
effort,729,0
governor,727,0
auditors,723,0
founded,723,0
committee,723,0
benefit,717,0
association,716,0
epa,712,0
offered,711,0
laws,709,0
lord,708,0
um-hum,704,0
influence,700,0
expect,699,0
alexander,699,0
refused,697,0
continue,697,0
slaves,689,0
greater,688,0
towns,684,0
require,683,0
listen,682,0
demand,680,0
critical,680,0
opinion,676,0
council,673,0
provides,670,0
performed,662,0
drugs,661,0
savings,655,0
emissions,654,0
aware,654,0
1998,654,0
suggested,651,0
rooms,648,0
actions,646,0
opportunity,646,0
2016,644,0
hong,642,0
announced,640,0
responsible,637,0
limited,633,0
1995,632,0
forced,631,0
mission,631,0
1997,631,0
method,631,0
declared,628,0
improve,627,0
operations,623,0
silent,622,0
ability,622,0
forget,616,0
republican,614,0
revenue,611,0
entities,611,0
internal,610,0
discovered,609,0
gervaise,607,0
basis,604,0
km,603,0
silence,600,0
described,599,0
laughed,594,0
loss,593,0
beaches,588,0
2017,588,0
faith,587,0
methods,587,0
regulatory,586,0
matters,586,0
accounting,583,0
managers,582,0
you'd,577,0
regarding,574,0
politics,574,0
peggy,570,0
inglethorp,567,0
greatest,566,0
intended,565,0
payments,563,0
reform,561,0
recognized,560,0
enjoyed,557,0
henry,556,0
finding,555,0
mentioned,555,0
democratic,552,0
originally,550,0
noted,547,0
noticed,547,0
senate,547,0
explained,545,0
earlier,544,0
they'll,541,0
debt,540,0
pays,540,0
stated,539,0
policies,538,0
pleased,536,0
enemy,536,0
critics,535,0
software,533,0
requires,531,0
jerusalem,531,0
environmental,530,0
estimates,528,0
estimate,526,0
congressional,526,0
1994,525,0
join,523,0
affect,523,0
fought,522,0
rosamund,522,0
2015,519,0
settled,517,0
strength,517,0
relationship,514,0
imagine,513,0
payment,513,0
switzerland,512,0
remarked,510,0
decisions,510,0
writer,510,0
studied,510,0
estimated,509,0
importance,509,0
contract,508,0
discussed,507,0
selected,503,0
irene,503,0
positive,501,0
2014,501,0
retired,500,0
journey,497,0
accepted,493,0
eventually,493,0
spoken,493,0
statements,492,0
bradley,492,0
b.c,491,0
1990,491,0
ensure,489,0
regulations,487,0
alternative,485,0
thoughts,484,0
replaced,483,0
factors,480,0
elected,480,0
exist,480,0
billion,478,0
ordered,478,0
ve,477,0
weren't,473,0
tend,473,0
knowing,471,0
develop,470,0
afford,470,0
omb,469,0
fiscal,469,0
explain,468,0
sector,464,0
egypt,463,0
centuries,463,0
occurred,462,0
visited,459,0
secretary,459,0
attorney,458,0
temples,457,0
quietly,456,0
increasing,454,0
advantage,453,0
circumstances,451,0
representation,449,0
familiar,448,0
planned,445,0
thou,442,0
responsibility,442,0
decide,442,0
hadn't,442,0
identified,442,0
existing,441,0
saturday,440,0
failure,439,0
routes,439,0
1992,438,0
greatly,438,0
reduced,437,0
boring,437,0
attorneys,437,0
nations,437,0
reviews,436,0
kal,435,0
values,435,0
1993,435,0
sultan,434,0
risks,434,0
teach,433,0
territory,433,0
offices,432,0
supported,432,0
affairs,432,0
gain,431,0
jury,430,0
loire,430,0
apply,429,0
waited,429,0
desire,429,0
behavior,428,0
acid,427,0
wealth,427,0
intervention,427,0
2003,426,0
screening,425,0
assets,425,0
believes,425,0
yesterday,425,0
examples,425,0
villages,424,0
bother,424,0
des,423,0
favor,423,0
remembered,421,0
alden,421,0
welfare,421,0
addressed,420,0
seek,420,0
sudden,419,0
san'doro,419,0
nodded,419,0
interventions,418,0
status,417,0
executives,416,0
cousin,415,0
promise,415,0
rome,414,0
promised,414,0
identify,412,0
evaluation,411,0
bono,410,0
agreement,409,0
mention,409,0
determine,409,0
horrible,409,0
engineering,408,0
ye,407,0
strategic,407,0
marie-celeste,406,0
understood,404,0
factor,404,0
shouted,401,0
prefer,401,0
gerald,400,0
leadership,399,0
gained,396,0
to-day,396,0
newsweek,396,0
regard,395,0
realized,395,0
improved,394,0
represent,394,0
abuse,394,0
scotland,394,0
concerns,394,0
accounts,393,0
drama,392,0
facilities,389,0
finance,389,0
disease,388,0
pollution,388,0
differences,387,0
compliance,387,0
comment,386,0
lawrence,385,0
technical,384,0
gore,384,0
extent,384,0
guilty,384,0
soviet,383,0
scarcely,383,0
concern,382,0
iii,382,0
afterwards,382,0
reduction,381,0
flexibility,380,0
truly,379,0
grantees,379,0
comedy,379,0
happening,378,0
confidence,378,0
distributed,378,0
democrats,376,0
somehow,376,0
realize,375,0
parliament,375,0
criminal,374,0
climate,374,0
adopted,374,0
corporation,373,0
forever,373,0
johnson,373,0
acquisition,373,0
depends,372,0
achieve,372,0
communities,372,0
clinton's,371,0
introduced,369,0
tests,369,0
yours,369,0
conducted,368,0
he'd,368,0
jennie,368,0
arkansas,368,0
presently,367,0
independence,367,0
opportunities,366,0
proved,365,0
implementation,365,0
forgotten,364,0
occur,364,0
chosen,363,0
ordinary,362,0
wished,362,0
chose,362,0
legislation,362,0
findings,362,0
negative,362,0
regardless,361,0
affair,361,0
nuclear,361,0
whenever,360,0
suffered,359,0
whispered,358,0
glance,356,0
admitted,355,0
proposal,354,0
episode,353,0
enemies,353,0
kings,353,0
city's,351,0
entity,351,0
franklin,351,0
tribes,350,0
stared,349,0
conduct,349,0
dick,348,0
200,348,0
decline,347,0
